구,법정동,개수
달성군,현풍읍,28
수성구,만촌동,23
수성구,황금동,12
수성구,수성동1가,14
수성구,지산동,25
남구,봉덕동,22
중구,남산동,17
달성군,옥포읍,24
수성구,신매동,23
달성군,다사읍,57
달성군,유가읍,30
달성군,논공읍,27
동구,각산동,9
동구,신암동,24
북구,연경동,2
수성구,삼덕동,1
북구,침산동,32
북구,읍내동,20
북구,사수동,8
북구,노원동3가,3
달서구,대곡동,15
북구,동천동,12
동구,신천동,23
동구,대림동,2
동구,율하동,17
중구,수창동,1
달서구,본리동,9
달서구,월성동,23
남구,대명동,31
수성구,범어동,27
수성구,파동,11
달성군,화원읍,42
동구,검사동,5
서구,비산동,19
동구,용계동,6
달서구,용산동,32
수성구,수성동,1
달성군,구지면,21
달서구,유천동,8
달서구,감삼동,11
달서구,신당동,11
달성군,대구광역시,41
달성군,하빈면,26
달성군,가창면,26
달서구,송현동,18
달서구,장기동,8
달서구,본동,5
달서구,대천동,2
달서구,상인동,38
달서구,성당동,12
달서구,진천동,22
달서구,파호동,2
달서구,이곡동,22
달서구,두류동,7
달서구,장동,1
달서구,죽전동,4
달서구,호산동,3
달서구,도원동,14
달서구,대구광역시,7
수성구,사월동,7
수성구,매호동,15
수성구,이천동,1
수성구,범물동,21
수성구,수성동4가,10
수성구,대구광역시,10
수성구,노변동,3
수성구,대흥동,1
수성구,시지동,13
수성구,연호동,2
수성구,성동,1
수성구,욱수동,3
수성구,고모동,2
수성구,가천동,1
수성구,두산동,4
수성구,상동,6
수성구,중동,4
수성구,수성동2가,3
수성구,수성동3가,3
북구,학정동,5
북구,대구광역시,25
북구,도남동,2
북구,동호동,1
북구,국우동,6
북구,관음동,7
북구,구암동,20
북구,태전동,30
북구,노곡동,1
북구,금호동,1
북구,매천동,4
북구,팔달동,4
북구,노원동2가,3
북구,노원동1가,1
북구,조야동,1
북구,동변동,5
북구,서변동,9
북구,검단동,5
북구,대현동,10
북구,복현동,22
북구,산격동,21
북구,칠성동2가,10
북구,칠성동1가,2
북구,고성동2가,2
북구,고성동3가,1
남구,대구광역시,1
남구,이천동,10
서구,원대동2가,1
서구,대구광역시,9
서구,원대동3가,1
서구,원대동1가,2
서구,중리동,9
서구,이현동,1
서구,상리동,2
서구,평리동,19
서구,내당동,17
동구,용수동,2
동구,내동,2
동구,진인동,2
동구,지묘동,8
동구,대구광역시,4
동구,중대동,1
동구,신용동,2
동구,송정동,2
동구,덕곡동,1
동구,능성동,1
동구,도학동,2
동구,미대동,2
동구,신무동,1
동구,백안동,1
동구,미곡동,1
동구,괴전동,3
동구,사복동,2
동구,숙천동,2
동구,신서동,12
동구,내곡동,1
동구,동호동,2
동구,금강동,1
동구,서호동,3
동구,율암동,1
동구,매여동,1
동구,신기동,7
동구,신평동,2
동구,부동,3
동구,둔산동,3
동구,방촌동,16
동구,입석동,3
동구,지저동,6
동구,봉무동,6
동구,불로동,8
동구,도동,4
동구,평광동,1
동구,효목동,8
중구,대봉동,7
중구,대신동,4
중구,서성로1가,1
중구,달성동,1
중구,계산동2가,2
중구,대구광역시,1
중구,북내동,1
중구,봉산동,2
중구,태평로1가,2
중구,교동,1
중구,삼덕동3가,2
중구,삼덕동2가,1
중구,동인동4가,2
중구,동인동3가,1
중구,동인동1가,1
중구,동인동2가,1
